darija,eng,darija_ar
ghanmreD!,I'm going to be sick!,غانمرض!
awlla!,isn't it!,أولّا!
matgolch,Do not say,ماتڭولش
gddach?,how big is it?,ڭدّاش?
kan3tader,I'm sorry,كانعتادر
m39oula,I see!,معقولا
7chouma,It's a shame,حشوما
bslama,Good-bye,بسلاما
mr7ba.,You're welcome.,مرحبا.
Layesser.,Good luck.,لايسّر.
naDi.,Perfect.,ناضي.
kanwa3dek.,I promise.,كانواعدك.
ra2i3.,Excellent.,راإع.
chnahoa?,What?,شناهوا?
yak?,right?,ياك?
SSber...,Patience...,الصبر...
Laa!,Oh no!,لا!
Hmm.,Hmm.,همّ.
katsta799ha.,You deserve it.,كاتستاحقّها.
kayna.,That's true.,كاينا.
m39oula.,fair enough.,معقولا.
wayli?,Really?,وايلي?
ewa?,so?,إوا?
kifach?,Excuse me?,كيفاش?
hania.,No problem.,هانيا.
makrehtch.,I'd love to.,ماكرهتش.
mzyana.,awesome.,مزيانا.
khddama!,It works!,خدّاما!
laa!,Oh no!,لا!
drtha.,I did.,درتها.
3aDim!,Great!,عاضيم!
kantmenna.,I hope so.,كانتمنّا.
kaySoni,It's ringing,كايصوني
fhmt,I see!,فهمت
katmrreDni,You're teasing me,كاتمرّضني
awlla?,Aren't you?,أولّا?
8na!,Here!,هنا!
wakha,OK.,واخا
mttaf9.,I agree.,متّافق.
nchoufouk!,See you!,نشوفوك!
bsse7...,True...,بسّح...
chokran.,Thank you.,شوكران.
mo7alch.,Probably not.,موحالش.
fi3lan!,Indeed!,فيعلان!
ghzalin,They're really cute!,غزالين
ghleTT,I misspoke,غلطّ
wah!,Really?,واه!
mzyan.,All right.,مزيان.
lay3awn,Bye,لايعاون
Tab3an!,Of course!,طابعان!
maghaDerrch,It can't hurt,ماغاضرّش
wakha.,Okay.,واخا.
makanloumekch.,I don't blame you.,ماكانلومكش.
chokran.,Thank you.,شوكران.
fkhbarek?,Do you know?,فخبارك?
mzyan.,All right.,مزيان.
tfou.,Damn.,تفو.
mo7alch,probably not,موحالش
wakha.,Ok.,واخا.
matkhafch!,Don't worry!,ماتخافش!
Thella,Ciao!,طهلّا
wayli!,Really!,وايلي!
oh!,Oh!,أُه!
kanghir!,Jealous!,كانغير!
ghat3jbk?,Would you like it?,غاتعجبك?
mchina!,Let's go!,مشينا!
chokran.,Thank you.,شوكران.
nchoufouk,See you later,نشوفوك
nta!,You!,نتا!
radikali!,Extreme!,راديكالي!
maf8mtch,I didn't understand,مافهمتش
7bibi,my dear,حبيبي
3jbatni,I like her,عجباتني
3jbni,I like him,عجبني
makhddamch,does not work,ماخدّامش
tb3ni,follow me,تبعني
wSlti?,have you arrived?,وصلتي?
yallah,let's go,يالّاه
finahoa?,where is he?,فيناهوا?
chttha,I have seen it,شتّها
ma3rftch,I don't know,ماعرفتش
mllit,I am bored,ملّيت
3yit,I am tired,عييت
ma3mmrni,I have never,ماعمّرني
ahlan!,Hi!,أهلان!
Hmmmm!,Hmmmm!,همّمّ!
3aDim.,Great.,عاضيم.
Safi.,Ok.,صافي.
t8ellaw!,Bye!,تهلّاو!
mzyan.,Good.,مزيان.
wiski?,Whisky?,ويسكي?
sme3ni:,Listen to me:,سمعني:
abadan!,Never!,أبادان!
wayli?,Really?,وايلي?
mzyan.,Fine.,مزيان.
maghanakolhomch.,I won't eat them.,ماغاناكولهومش.
kanDenn.,I suppose so.,كانضنّ.
m39oula.,Fair enough.,معقولا.
maymkench!,No way!,مايمكنش!
momtaz,excellent,مومتاز
3awnoni,help me,عاونوني
tl9na!,Hurry!,تلقنا!
makansm3kch,I can't hear you,ماكانسمعكش
makan7mlouch,I dont like him,ماكانحملوش
makan7mlhach,I don't like it,ماكانحملهاش
mabghitouch,I don't want it,مابغيتوش
mabghithach,I don't want her,مابغيتهاش
3rft,I know,عرفت
kat3jbni,I like her,كاتعجبني
kan7ebbek,I love you,كانحبّك
mazal,not yet,مازال
zga,stop,زڭا
gollia,tell me,ڭولّيا
jrrbo,try it,جرّبو
tb3ni,follow me,تبعني
wSlti?,have you arrived?,وصلتي?
chwia,a few,شويا
chwia,a little,شويا
tfDDel,please come in,تفضّل
hahia,here it is,هاهيا
hanta,here you are,هانتا
hania,it's ok,هانيا
finahia,where it is,فيناهيا
rta7.,chill out.,رتاح.
Aaaaaaah,"Aaaaaaah,",ااااه
bessa7?,Really?,بسّاح?
chokran,Thank you!,شوكران
ma3reftch,I don't know.,ماعرفتش
la,No.,لا
3yit,I'm tired.,عييت
bessa7,true.,بسّاح
bessa7?!,really?!,بسّاح?!
wow!,wow!,ووو!
hhhh!,Haha!,هههه!
bessa7?,Really?,بسّاح?
fhemt.,I understand.,فهمت.
kidayr?,How are you?,كيداير?
S7i7a?,Health?,صحيحا?
kidayr?,How are you?,كيداير?
Salam!,Hello!,صالام!
blfi3l!,Exactly!,بلفيعل!
meziana!,Awesome!,مزيانا!
wakha.,Okay.,واخا.
wakha.,OK.,واخا.
Caputshino?,Cappuccio?,كاپوتسهينو?
wakha.,All right.,واخا.
ayeh!,Yes!,أيه!
jmil.,Beautiful.,جميل.
t9riban.,Almost.,تقريبان.
hak!,Here you go!,هاك!
ma3jbnich.,I don't like it.,ماعجبنيش.
lla!,No!,اللا!
bikhir--dertha!,Great--I did it!,بيخير--درتها!
7orra?,Free?,حورّا?
mrta7a?,Relieved?,مرتاحا?
wakha.,Okay.,واخا.
Poker!,Poker!,پوكر!
Ayeh.,All right.,أيه.
mchina?,Shall we?,مشينا?
3reft.,I know.,عرفت.
ndiroha!,Let's do this.,نديروها!
3jbni,I like it,عجبني
kan39el,I remember,كانعقل
wldi,My son,ولدي
bntek,Your daughter,بنتك
tyye9tek.,I believe you.,تيّقتك.
chb3t,I'm full.,شبعت
finek?,Where are you?,فينك?
nsa.,Forget it.,نسا.
makanDench,I don't think so,ماكانضنش
wajd?,Are you ready?,واجد?
tansteslem.,I give up.,تانستسلم.
onta?,And you?,أُنتا?
onti?,And you?,أُنتي?
kidayra?,How is she?,كيدايرا?
chdakchi?,What is that?,شداكشي?
finahoa?,Where is he?,فيناهوا?
chkonahoma?,Who are they?,شكوناهوما?
nsit.,I forget.,نسيت.
chftha,I've seen it,شفتها
l8i8.,It's over there.,لهيه.
wldo,His son,ولدو
ma3rftch,I don't know,ماعرفتش
3yit,I'm tired,عييت
hania,no worries,هانيا
salam,Hello,سالام
Amricano?,Americano?,أمريكانو?
ow!,Ow!,أُو!
wakha!,Ok then!,واخا!
frask,You know,فراسك
aah.,Sure.,اه.
ah,Yeah.,أه
bssa7.,That's right.,بسّاح.
wSlat.,she has arrived.,وصلات.
ah,Yes,أه
kat3rfhoum?,Do you know them?,كاتعرفهوم?
djaj?,Chickens?,دجاج?
blbayD?,With eggs?,بلبايض?
makaynlach.,Don't be.,ماكاينلاش.
mat9alle9ch.,Don't worry.,ماتقالّقش.
Bsmlah!,In the name of God!,بسملاه!
sma7lia.,Sorry.,سماحليا.
Ah.,Yes.,أه.
hada.,That.,هادا.
mod8ich,Amazing.,مودهيش
t8addan,Calm down.,تهادّان
momkin,It's possible,مومكين
Tab3an,Of course,طابعان
ah!,Ah!,أه!
bSSe7.,True.,بصّح.
sokar?,Sugar?,سوكار?
7lib...?,Milk...?,حليب...?
3ta9!,Help!,عتاق!
sma7liya.,I'm sorry.,سماحلييا.
Ayah,Yes,أياه
arbbi.,"Oh, my God.",أربّي.
Nari.,"Oh, my God.",ناري.
Aie!,Ouch!,أي!
mafhmtch,I don't get it,مافهمتش
Sa7i7.,Right.,صاحيح.
jamil!,Wonderful!,جاميل!
mfrg3!,Fabulous!,مفرڭع!
gollia,Tell me,ڭولّيا
9aT3an!,Absolutely!,قاطعان!
lhamdolilah,Thank goodness,لهامدوليلاه
tsnna!,Wait!,تسنّا!
hanya,It's okay,هانيا
hania,It's okay,هانيا
mn7ous,Bad luck.,منحوس
nne7s,Bad luck.,النحس
ah,Ah.,أه
makandench,I don't think so.,ماكاندنش
Tab3an,Of course,طابعان
yarbi!,Gosh!,ياربي!
tsana....,Wait...,تسانا....
mafhamtch?,i don't follow.,مافهامتش?
oh!,oh!,أُه!
sma7li!,sorry!,سماحلي!
momtaz!,Perfect!,مومتاز!
blaan!,Perfect!,بلان!
hania.,No worries.,هانيا.
3azizi,my dear,عازيزي
wow,wow,ووو
katmrradni,you make me sick,كاتمرّادني
Bjouj!,Both!,بجوج!
Ouch!,Ouch!,وش!
awwalan,First of all,أوّالان
n7awlo?,Shall we try?,نحاولو?
massage?,Massage?,ماسّاڭ?
Oh?,Oh?,أُه?
ah,Yes,أه
sam7na,Sorry,سامحنا
mat9lla9ch!,Don't get upset!,ماتقلّاقش!
tanchkrouk,Thanks,تانشكروك
lmSla7ti?,For my own good?!,لمصلاحتي?
laa,Nah,لا
blaach,Nah,بلاش
3lach?,Why?,علاش?
haha,Haha,هاها
3afak,Please,عافاك
chokran,Thanks!,شوكران
nsito,I forgot about it,نسيتو
ma3rftouch,I don't know it,ماعرفتوش
ma3raft8ach,I don't know it,ماعرافتهاش
mar7aban,You're welcome!,مارحابان
khdmti,My job,خدمتي
rajli,My husband,راجلي
wladi,My children,ولادي
rfaDt8a,I turned it down,رفاضتها
lms2oliya?,Responsibility?,لمسألييا?
Tab3an,Of course it is,طابعان
chokran,Thank you,شوكران
matpanikich,Don't panic,ماتپانيكيش
matkhl3ch,Don't panic,ماتخلعش
matkhal3ich,Don't panic,ماتخالعيش
wayli!,Oh really!,وايلي!
attention,Careful!,أتّنتيون
matti7ch,Don't fall in,ماتّيحش
3lach?,Why?,علاش?
tsanna!,Wait!,تسانّا!
momkin,It might be,مومكين
i9der,It might be,إقدر
ah!,Ah!,أه!
matalan,For instance,ماتالان
wakha,Okay,واخا
sma7lina,sorry,سماحلينا
yalah!,come on!,يالاه!
tl9na!,come on!,تلقنا!
mostach?!,a mustache?!,موستاش?!
achnahoma?,what are they?,أشناهوما?
wakha!,Ok!,واخا!
