eng,darija_ar,transl
I think I'm going to leave!,تايبالّيا غانمشي!,He/she will come to pick me up!
I knew it!,كنت عارفها!,I knew it!
oh god!,أ ربّي!,Oh my God!
Don't you think?,واش ماتاتفكّرش?,Don't you think?
is it big?,واش كبير?,Is it big?
As you suggested,كيمّا قتارحتي,As you suggest
as you say,كيمّا كاتڭول,As you wish
I'd say yes,كانڭول أه,I swear
I agree with you,متّافق معاك,I agree with you.
what do you think?,أش بالّيك?,What's wrong with you?
What do I do?,أش غاندير?,What should I do?
"ok, I get it.","صافي, فهمتك.","Got it, I understand."
"Yeah, probably.","أه, غاليبان","Oh, it's expensive."
I admire him very much.,كايعجبني بزّاف.,I really like it.
"A lady, I think.","مرا, تايبالّيا","Wow, that's amazing"
Very beautiful,زوينا بزّاف,It's very beautiful.
"Yes, it is.","أه, كاينا.","Oh, there are."
"Yes, sir.",أيه أمولاي,"Yes, sir."
"Yes, I understand.","أه, فهمتك.","Oh, I understand you."
Of course not.,طابعان اللا.,It's not a big deal.
2000 words,2000 كلما,2000 times
"Ah, ok.","أه, واخا.","Oh, okay."
We're going back to work together,غانخدمو مجموعين,They work together.
It's early!,باقي لحال!,Still alone!
"Yes, sir.",أيه أمولاي.,"Yes, my lord."
"Yes, sorry.","أه, السموحات.","Oh, sorry."
"Oh, sorry","أح, سموحات","Oh, sorry."
I can't find it!,ماقدرتش نلقاه!,I couldn't find it!
you thought it was over,صحابليك سالينا,Your friends asked us.
That's fine,ماكاين باس,There is no problem.
God help you,اللاه إعاونك,May God help you.
I'm fine.,أنا بيخير.,I'm fine.
"Okay, you convinced me",صافي قنعتيني,You convinced me
It's terrifying,هادشي تايخلع,This thing is annoying.
"But, wait!","والاكين, بلّاتي!","Of course, absolutely!"
Are you sure?,واش متيقّن?,Are you sure?
"It's weird, isn't it?","فشكيل, أولّا?","What's the plan, first?"
It's ringing....,هاهوا كايصوني....,He's ignoring me...
They're taunting us!,كايطلّعوها علينا!,They are showing it to us!
All right.,ماڭلتي عليب.,You forgot your bag.
What do you think?,أش بالّيك?,What's wrong with you?
"Yes, goodbye","وايه, طهلّا","Yes, of course."
I am not lucky,ماعندي زهر,I don't have any money.
it's fun,هادشي كوميك,This is funny
that's correct.,هيا هاديك.,Here you go.
that's not correct.,ماهيا هاديكش.,She's not that one.
"Yes, of course.","أه, داروري.","Oh, of course."
"Hello, ma'am.",سالام مادام.,"Hello, as long as."
Hurry up,أ تلقنا,I miss you
That's too bad.,هادشي مامزيانش.,This is not good.
The meeting was canceled,لجتيماع التلغا,The meeting was canceled.
It is very hot...,سخون بزّاف...,It's very hot...
fair enough,ماڭلتي عيب,Your behavior is inappropriate.
"Yes, with pleasure!","أيه, مرحبا!","Yes, hello!"
last one there has to pay,اللخر إخلّص,The food is ready.
That's great.,هادشي مبرّع.,This is confusing.
It's so interesting.,هادشي موهيمّ.,This is important.
I'll take that as a yes.,غانعتابرها أه.,He considers it as such.
That's good.,هادشي مبرّع.,This is confusing.
I'm impressed.,أنا نباهرت,I am impressed.
"Ah, it stopped.","أه, وڭفات.","Oh, really."
Open that.,حلّ هادا.,Solve this.
That's confusing.,هادشي كايتلّف.,This is confusing.
Sometimes.,مرّا مرّا.,Very much.
Did you enjoy them?,ستمتعتي بيهوم?,Did you enjoy it?
"No, for lunch.","اللا, فلغدا.","No, tomorrow."
on your side?,من جيهتك?,What about you?
"Very well, thank you","مبرّع, لايحفدك","He's fake, don't trust him."
It's scary.,هادشي كايخلع.,This is annoying.
We have to hurry!,خسّنا نسربيو!,Let's go quickly!
What do you think?,أش بالّيك?,What's up with you?
Do you play sports?,كاتلعب الرياضا?,Are you playing sports?
"Yes, I see.","أه, فهمت.","Oh, I understand."
You got the map?,عندك لخاريطا?,Do you have a map?
you want some?,بغيتي شويا?,Do you want some?
Yes please.,أيه لايحفدك.,"Yes, it won't benefit you."
What's going on?,أش واقع?,What's up?
It gets confusing.,هادشي كايتلّف.,This is confusing.
"Yes, of course.","أيه, طابعان.","Yes, exactly."
"No, not at all.","لا, باتاتان.","No, potatoes."
He has a good sense of humor!,قشّابتو واسعا!,His smile is wide!
You have cheered me up no end.,نشّطّيني مزيان.,You energize me well.
I'm glad.,أنا ناشط.,I am active.
20 points,20 نوقطا,20 points
Sit here,ڭلس هنا,Everything is fine here.
"Oh no, they're too cute","ألّا, كايحمّقو","No, they are acting foolish."
"Yes, please do.","أه, تفضّل.","Oh, please."
It's not fair!,ماشي معقول!,It's not reasonable!
"Goodbye, sir.",فيدلاه نعاماس,He doesn't understand.
Don't you know it?,واش ماعرفتيهاش?,Didn't you know it?
I didn't dare ask him,مازعمتش نسووّلو,I didn't claim we should do it.
I'll ask him.,دابا نسوّلو.,Let's do it now.
Do you cycle?,كادّير پيكالا?,What are you doing?
"Yes, please.","أيه, مرحبا.","Yes, hello."
especially in a city,خوصوصان فلمدينا,Especially in our city.
On your left!,علّيسر ديالك,On your left
That's my girl.,هادي بنتي.,This is my daughter.
"Yes, of course.","أيه, طابعان.","Yes, exactly."
Of course not!,طابعان اللا!,Absolutely not!
It's a bit stupid,شويا غابييّا,A little absent-minded
